Shared_Markers,k0,k1,k2,Share_allele,Value,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10,True_positive
15,0,6,9,24,22178.2,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-175,175:575,10000-99999,113701,S,113701,F,4.345926295564743,1.0
14,1,10,4,18,60.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,057502,S,025602,S,1.7781512503836436,0.0
15,0,7,8,23,6000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-175,175:575,1000-9999,107301,F,107301,S,3.7781512503836434,1.0
15,0,5,10,25,294292.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-30,30:720,100000-999999,008901,S,008901,F,5.468778456448649,2.0
15,0,5,10,25,200000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,026101,S,026101,F,5.301029995663981,2.0
14,1,8,6,20,1.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,025901,F,107202,S,0.0,0.0
15,0,11,4,19,400.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,100-999,116702,S,035302,S,2.6020599913279625,1.0
14,1,7,7,21,2.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,144302,S,105802,F,0.3010299956639812,0.0
15,0,9,6,21,2000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-175,175:575,1000-9999,056701,F,056701,S,3.3010299956639813,1.0
15,0,3,12,27,100000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-60,60:690,100000-999999,113501,S,113501,F,5.0,2.0
